ID_Candidato,Nombre,Biografia,Tiene_Renuncia,Observaciones
ALEJANDRO MOREIRA OSCAR,"Moreira, Alejandro Oscar",,NO,
FRANCO ZUCCOLO,"Zuccolo, Franco","Contador Público (UBA) con especialización impositiva, administrativa y legal. Se desempeña en SEDESA Seguro de Depósitos S.A",NO,
CHAVARRIA FACUNDO,"Chavarria, Facundo","Abogado, trabaja actualmente en el Consejo de la Magistratura de la Nación.",NO,
CARLOS PERASSI,"Perassi, Carlos",Contador (UBA). 30 años de experiencia en altos cargos del banco HCBC y Galicia,NO,
KARINA LEFEVRE,"LEFEVRE, KARINA","Contadora y Traductora Pública (UBA). Vicepresidenta de la asociación civil MACFUT. Vocal de San Lorenzo (2019-2023), durante ese periodo, fue responsable de las areas de CASLA Social y Diversidad y Género. Tambien fue una de las responsables del fútbol femenino y del Futsal Inclusivo.",NO,
CLAUDIA COSTA DA DIAZ,"Da Costa Diaz, Claudia","Egresada de la UNLP, Directora y profesora de Teatro, directora de medios audiovisuales, Ex miembra de la Subcomisión del Hincha. Fue candidata a vocal en 2019 por ""Cruzada x San Lorenzo"" y candidata a asambleista por ""Siempre San Lorenzo"" en 2022",NO,
AREVALO DEL SABRINA VALLE,"Arevalo del Valle, Sabrina","Especialista en liderazgo de equipos y gestión de proyectos públicos y privados, con más de 20 años de experiencia. Actualmente se desempeña como nexo operativo en la provincia de Buenos Aires",NO,
MONICA NARVAEZ,"Narvaez, Monica","Ex jugadora de tenis del club, capitana, referente y colaboradora de la disciplina. Fue candidata a asambleista en 2022 y 2023, y candidata a vocal en la asamblea de 2025. Siempre como parte de Volver a San Lorenzo",NO,
BURGIN MARIELA,"Burgin, Mariela",Licenciada en Marketing (IEA). Empleada de INSSJP.,NO,
ARMANDO MUZOGLU,"Muzoglu, Armando","Empresario textil, Asambleista de ""San Lorenzo Siglo XXI"" (2019-2023, Candidato a vocal por ""X Amor a San Lorenzo (2023). y Actual vocal de comisión directiva. Actualmente es responsable de la Reserva, Futbol Femenino, Futsal Femenino y Handball. Ex Secretario General del club Deportivo Armenio a finales de los 90 hasta mediados de los 2000",NO,
DANIEL ROTELLA,"Rotella, Daniel",Licenciado en Administración y Contador (UADE). Especialista en planificación de transporte. Se ha postulado un total de 6 veces en las distintas elecciones. Desde 2023 es integrante de Orden y Progreso,NO,
EDUARDO RODRIGUEZ,"Rodriguez, Eduardo","Técnico en control de deudas previsionales (ANSES), delegado sindical de ATE y Director de Escenario de murga con 27 años de experiencia en representación laboral. Preparador físico. Estuvo como vocal en la lista de ""Por San Lorenzo"" en las elecciones extraordinarias de Septiembre de 2012",NO,
FELIPE LOZANO,"Lozano, Felipe",Especialista en marketing digital. Fue candiato a vocal en la asamblea de 2025 por el espacio de Volver a San Lorenzo,NO,
AGOSTINO DANIEL,"Agostino, Daniel","Abogado (UMSA). Especialista en Derecho Administrativo, Derecho Concursal y Comercial. Diplomado en Derecho del Deporte Administración y Gestión de Entidades Deportivas (UAI). Profesor a cargo de la Comisión de Economía Política (UAI) (2001-2006). Profesor adjunto Catedra de Derecho Concursal (UAI) (2003-2010). Candidato a Secretario de la lista de Marcelo Moretti en el 2010",NO,
ENRIQUE RONZONI,"Ronzoni, Enrique","Empresario ligado al turismo estudiantil, posee las empresas Travel Rock y Baxxter. Socio vitalicio, fue candidato a presidente en 2022 en la lista Renovación Sanlorencista. Actualmente funge como tesorero del club",NO,
FERREIRA MAXIMILIANO,"Ferreira, Maximiliano",Abogado. Co-Fundador del estudio jurídico T&F,NO,
FERRO NICOLAS,"Ferro, Nicolas",Licenciado en Economía (UCA). Vicesuperintendente de Entidades Financieras y Cambiarias y Presidente Comisión de Normas y Operaciones del BCRA con más de 30 años de experiencia en el mercado financiero. Trayectoria en bancos internacionales y en el ámbito local,NO,
ERTOLA PATRICIO,"Ertola, Patricio","Licenciado en administración. vicepresidente del club de empleados del Banco Ciudad. Fue candidato a vocal en 2022, 2023 y la asamblea del 2025, siempre por Volver a San Lorenzo",NO,
LEANDRO VIDAL,"Vidal, Leandro","Licenciado en Administración (UBA). Dueño de 2 franquicias de pastas ""Franccesca""",NO,
GARAY GERMAN,"Garay, German","Ingeniero Electrónico (UTN). CEO de la empresa Metrotel Argentina, candidato a vocal por ""San Lorenzo en Marcha""",NO,
MAIDANA NOEMI SILVANA,"Maidana, Silvana Noemi",,NO,
PABLO RODRIGUEZ,"Rodriguez, Pablo",Contador Público (UBA). Especialista en auditoría y forensic accounting con experiencia en control de gestión en empresas nacionales e internacionales. Se desempeña como Consultor técnico en el Cuerpo de Peritos Contadores de la CSJN,NO,
BARROS LEONARDO,"Barros, Leonardo",Abogado laborista. Actualmente trabajando en el sector privado. Fue candidato a vocal en la asamblea del 2025 por Volver a San Lorenzo,NO,
DANIEL REIMUNDES,"Reimundes, Daniel",Abogado (UCA). Especialista y magister en derecho administrativo economico (UCA). Doctor en ciencias juridicas (UCA). Managment y derecho deportivo FIFA (UCA).,NO,
FRAIMAN NICOLAS SERGIO,"Fraiman, Sergio Nicolas",EN CONSTRUCCION,NO,
LUCAS RAJOY,"Rajoy, Lucas","Nacido en Santa Cruz, actual colaborador de la peña ""Lomas Brown"" del GBA",NO,
LORENZO NATALICCHIO,"Natalicchio, Lorenzo",Egresado y docente universitario de Diseño de Imagen y Sonido (UBA). Realizador y productor audiovisual.,NO,
DARIO DORSI RUBEN,"Dorsi, Ruben Dario","Abogado, especializado en derecho inmobiliario y amparos de salud.",NO,
LEONARDO PRESTINI,"Prestini, Leonardo",Despachante de Aduana. Presidente de Positive Orgons S.A. Socio Gerente Phoenix Universe S.R.L.,NO,
HERMIDA SANCHEZ VANESA,"Sanchez Hermida, Vanesa","Abogada (UBA). Asambleista de licencia por Boedo en Acción (2023-2026). Actual vocal de comisión directiva. Tiene a cargo las areas de CASLA Social, Género y Diversidad y DDHH",NO,
GUILLERMO MANGONE,"Mangone, Guillermo","Secretario de la Federación de Trabajadores de la Industria del Gas Natural de la República Argentina (FETIGNRA). Sobrino de Oscar Mangone, ex vocal de Miele (2001) 2004). Fue candidato a vocal en la lista de Grandeza Azulgrana en 2004, por Renovación Sanlorencista en 2022, Por Orden y Progreso en 2023 y en la lista de Matías Lammens en 2025.",NO,
ALEJANDRO GIONGO,"Giongo, Alejandro",Licenciado en Administración (UBA) con más de 20 años de experiencia en el sector financiero. Carrera en el Banco Nación y desarrollo de productos financieros.,NO,
MARIEL RASCOVAN,"Rascovan, Mariel",Licenciada en Psicología (PSI). Fue candidata a vocal en 2022 y la asamblea del 2025 por Volver a San Lorenzo,NO,
FRANCISCO SAVOINI,"Savoini, Francisco","36 Años de trayectoria de dirigencia en mutuales.. Asociacion Mutual de Comunicaciones. (AMPF), ODEMA y UMM",NO,
BOUZAS MARCELO,"Bouzas, Marcelo","Padre del vocal Rodrigo Bouzas. Máxima autoridad de la Direccion General de Desarrollo de Estándares de Gestión de la Subsecretaría de Asuntos Públicos Territoriales del Gobierno de la Ciudad de Buenos Aires, fue presidente de la junta comunal 5 (2011-2019). Director General de Asuntos Gremiales y Formación Sindical en la Subsecretaría de Trabajo, Industria y Comercio (2019-2023) y como Subdirector Nacional de Asociaciones Sindicales del Ministerio de Trabajo, Empleo y Seguridad Social de la Nación (2016-2017) y otros cargos menores en el GCBA. Fue miembro de la comisión directiva de San Lorenzo entre el 2011 y 2012. Y estuvo en listas encabezadas por Sergio Costantino (2022, 2023 y 2026). Actualmente es colaborador del club y candidato a vocal por San Lorenzo en Marcha",NO,
CORDASCO GONZALEZ TOMAS,"Gonzalez Cordasco, Tomas","Sub director de Seguridad y Control del Senado de la Nación Argentina, Acompaña en las listas de Marcelo Culotta desde 2023. Miembro de actitud San Lorenzo",NO,
CLAUDIO DIOTALLEVI,"Diotallevi, Claudio","Técnico en Periodismo Deportivo en la Escuela Superior de Ciencias Deportivas. Productor, coordinador creativo y jefe de contenidos audiovisuales con 30 años de experiencia en Torneos y Competencias, Fox Sports y ESPN",NO,
ARAUJO NELSON OMAR,"Araujo, Nelson Omar","Abogado (UNLAM), con una decada de experiencia en el Gobierno Nacional y de la Ciudad de Buenos Aires en el area de comunicación. Actualmente trabaja como Gerente de Comunicaciones y Relaciones Institucionales en PAMI INSSJP. Fue candidato a asambleista en 2023 como parte de Volver a San Lorenzo",NO,
DARIO POUSTIS RUBEN,"Poustis, Ruben Dario",EN CONSTRUCCION,NO,
CASOLA FERNANDO,"Casola, Fernando","Abogado (UBA). Socio fundador del estudio Casola, colaborador del club durante la gestión de Sergio Costantino. Formó parte de la lista de Renovación San Lorencista de Enrique Ronzoni en 2022",NO,
