Row 28: [Col 1: ] | [Col 2: ] | [Col 3: 3] | [Col 4: x Amor a San Lorenzo] | [Col 5: Sergio Costantino] | [Col 6: Federico Tirelli] | [Col 7: Sebastian Torrico] | [Col 8: 3863] | [Col 9: {FormulaResult: 0.2361680015}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 29: [Col 1: ] | [Col 2: ] | [Col 3: 4] | [Col 4: Volver a San Lorenzo] | [Col 5: Cesar Francis] | [Col 6: Christian Mera] | [Col 7: Jose Luis Fernandez] | [Col 8: 1786] | [Col 9: {FormulaResult: 0.1091887265}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 30: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: VOTOS EN BLANCO/NULOS] | [Col 5: VOTOS EN BLANCO/NULOS] | [Col 6: VOTOS EN BLANCO/NULOS] | [Col 7: VOTOS EN BLANCO/NULOS] | [Col 8: 23] | [Col 9: {FormulaResult: 0.001406125818}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 31: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: TOTAL] | [Col 6: TOTAL] | [Col 7: TOTAL] | [Col 8: {FormulaResult: 16357}] | [Col 9: {FormulaResult: 1}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 32: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: SOCIOS HABILITADOS PARA VOTAR] | [Col 6: SOCIOS HABILITADOS PARA VOTAR] | [Col 7: SOCIOS HABILITADOS PARA VOTAR] | [Col 8: 43867] | [Col 9: {FormulaResult: 0.3728771058}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 33: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: ELECCIONES ORDINARIAS - DICIEMBRE 2019] | [Col 6: ELECCIONES ORDINARIAS - DICIEMBRE 2019] | [Col 7: ELECCIONES ORDINARIAS - DICIEMBRE 2019] | [Col 8: ] | [Col 9: ] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 34: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: CANDIDATOS] | [Col 6: CANDIDATOS] | [Col 7: CANDIDATOS] | [Col 8: ] | [Col 9: ] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 35: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: AGRUPACION] | [Col 5: PRESIDENTE] | [Col 6: VICE] | [Col 7: VICE 2°/VOCAL 1] | [Col 8: VOTOS] | [Col 9: PORCENTAJE] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 36: [Col 1: ] | [Col 2: ] | [Col 3: 1] | [Col 4: San Lorenzo Siglo XXI] | [Col 5: Marcelo Tinelli] | [Col 6: Horacio Arreceygor] | [Col 7: Matias Lammens] | [Col 8: 12072] | [Col 9: {FormulaResult: 0.8013275805}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 37: [Col 1: ] | [Col 2: ] | [Col 3: 2] | [Col 4: Volver a San Lorenzo] | [Col 5: Cesar Francis] | [Col 6: Matias Plescia] | [Col 7: Maria Isabel Vuotto] | [Col 8: 1220] | [Col 9: {FormulaResult: 0.08098240956}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 38: [Col 1: ] | [Col 2: ] | [Col 3: 3] | [Col 4: Frente Pasion Azulgrana] | [Col 5: Ricardo Saponare] | [Col 6: Maria Omaechea] | [Col 7: Jorge Paladino] | [Col 8: 970] | [Col 9: {FormulaResult: 0.0643876535}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 39: [Col 1: ] | [Col 2: ] | [Col 3: 4] | [Col 4: Cruzada por San Lorenzo] | [Col 5: Claudio de Simone] | [Col 6: Sergio Peljhan] | [Col 7: Maria del Carmen Alvarez] | [Col 8: 757] | [Col 9: {FormulaResult: 0.05024892134}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 40: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: VOTOS EN BLANCO/NULOS] | [Col 5: VOTOS EN BLANCO/NULOS] | [Col 6: VOTOS EN BLANCO/NULOS] | [Col 7: VOTOS EN BLANCO/NULOS] | [Col 8: 46] | [Col 9: {FormulaResult: 0.003053435115}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 41: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: TOTAL] | [Col 6: TOTAL] | [Col 7: TOTAL] | [Col 8: {FormulaResult: 15065}] | [Col 9: {FormulaResult: 1}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 42: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: SOCIOS HABILITADOS PARA VOTAR] | [Col 6: SOCIOS HABILITADOS PARA VOTAR] | [Col 7: SOCIOS HABILITADOS PARA VOTAR] | [Col 8: 41000] | [Col 9: {FormulaResult: 0.3674390244}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 43: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: ELECCIONES ORDINARIAS - DICIEMBRE 2016] | [Col 6: ELECCIONES ORDINARIAS - DICIEMBRE 2016] | [Col 7: ELECCIONES ORDINARIAS - DICIEMBRE 2016] | [Col 8: ] | [Col 9: ] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 44: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: CANDIDATOS] | [Col 6: CANDIDATOS] | [Col 7: CANDIDATOS] | [Col 8: ] | [Col 9: ] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 45: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: AGRUPACION] | [Col 5: PRESIDENTE] | [Col 6: VICE] | [Col 7: VICE 2°/VOCAL 1] | [Col 8: VOTOS] | [Col 9: PORCENTAJE] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 46: [Col 1: ] | [Col 2: ] | [Col 3: 1] | [Col 4: San Lorenzo Siglo XXI] | [Col 5: Matias Lammens] | [Col 6: Marcelo Tinelli] | [Col 7: Roberto Alvarez] | [Col 8: 10717] | [Col 9: {FormulaResult: 0.8811148565}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 47: [Col 1: ] | [Col 2: ] | [Col 3: 2] | [Col 4: Volver a San Lorenzo] | [Col 5: Cesar Francis] | [Col 6: Luciano Bruno] | [Col 7: Marcelo Culotta] | [Col 8: 955] | [Col 9: {FormulaResult: 0.07851681329}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 48: [Col 1: ] | [Col 2: ] | [Col 3: 3] | [Col 4: Cruzada x San Lorenzo] | [Col 5: Claudio de Simone] | [Col 6: Mariano Colangelo] | [Col 7: ] | [Col 8: 475] | [Col 9: {FormulaResult: 0.03905286525}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 50: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: VOTOS EN BLANCO/NULOS] | [Col 5: VOTOS EN BLANCO/NULOS] | [Col 6: VOTOS EN BLANCO/NULOS] | [Col 7: VOTOS EN BLANCO/NULOS] | [Col 8: 16] | [Col 9: {FormulaResult: 0.001315464935}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 51: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: TOTAL] | [Col 6: TOTAL] | [Col 7: TOTAL] | [Col 8: {FormulaResult: 12163}] | [Col 9: {FormulaResult: 1}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 52: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: SOCIOS HABILITADOS PARA VOTAR] | [Col 6: SOCIOS HABILITADOS PARA VOTAR] | [Col 7: SOCIOS HABILITADOS PARA VOTAR] | [Col 8: 33126] | [Col 9: {FormulaResult: 0.3671738212}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 53: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: ELECCIONES ORDINARIAS - DICIEMBRE 2013] | [Col 6: ELECCIONES ORDINARIAS - DICIEMBRE 2013] | [Col 7: ELECCIONES ORDINARIAS - DICIEMBRE 2013] | [Col 8: ] | [Col 9: ] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
